asset_id,rows,origin_days,mean_delta_pct
99,1575,1575,-0.023350382062001754
177,1335,1335,-0.024091319163117964
56,1315,1315,-0.02450837003804988
361,1545,1545,-0.024776495838480243
407,1325,1325,-0.025548156333888645
313,1314,1314,-0.025910210090782246
140,1479,1479,-0.025937277197603845
343,1314,1314,-0.026127935079220392
340,1575,1575,-0.026496472920369
455,1570,1570,-0.02860513464400023
438,1555,1555,-0.02949191514717785
12,1169,1169,-0.029607707358350537
309,1475,1475,-0.03273920326734132
329,1565,1565,-0.034397175534725
85,1545,1545,-0.04541859996466674
7,1575,1575,-0.04939733152529908
396,1011,1011,-0.05156451840324156
293,1575,1575,-0.06039587483432236
116,1575,1575,-0.06073433375371908
484,1575,1575,-0.06169476566549308
67,1575,1575,-0.06616933419335379
445,1565,1565,-0.07240399514989791
425,1565,1565,-0.0945486182866222
214,1575,1575,-0.09507812155791617
154,1170,1170,-0.1090718228678807
117,1085,1085,-0.16384901838500507
41,1084,1084,-0.17894973394993313
317,1575,1575,-0.23040863069270245
87,1565,1565,-0.3527977228615806
