asset_id,rows,mean_row_delta_pct,weighted_primary_contribution_pct,abs_weighted_contribution_pct,abs_contribution_share,ticker,sector,candidate_vs_asset_reference_mean_row_delta_pct,mean_asset_vol_20d_pct,change_from_full_pct,leave_one_out_primary_delta_pct
371,1557,0.013589035776529082,2.7566105206278395e-05,2.7566105206278395e-05,0.002412613788418854,PPL,Utilities,0.001248431904642777,1.2022085537592533,-9.09090106848311e-06,0.009189035284676472
120,1556,0.013666369006573224,2.7531326389591157e-05,2.7531326389591157e-05,0.0024095699107271515,FIX,Industrials,0.003564017158528681,2.5852107492234495,-8.892971657587107e-06,0.009189233214087367
50,1556,0.01353840303147974,2.7355147870594765e-05,2.7355147870594765e-05,0.002394150586126406,ATO,Utilities,-0.0016730068090820129,1.1574200412589066,-8.18192499754062e-06,0.009189944260747415
295,1556,0.013212370394736562,2.6891907947617173e-05,2.6891907947617173e-05,0.002353607353153934,LYB,Materials,0.011543632308586838,2.02647882281509,-8.110807425803303e-06,0.009190015378319151
121,1548,0.012955391333522491,2.6619957453001286e-05,2.6619957453001286e-05,0.00232980596706156,COP,Energy,0.009117350229528474,2.0809095592435876,-7.589769052177977e-06,0.009190536416692777
319,1557,0.01299209557636087,2.655491748301388e-05,2.655491748301388e-05,0.0023241136022092985,MDLZ,Consumer Staples,-0.0006011645929116864,1.1640777119739367,-7.737812358950844e-06,0.009190388373386003
122,1556,0.01305390352688476,2.6443536221663244e-05,2.6443536221663244e-05,0.0023143654000278447,ED,Utilities,-0.000555980442753078,1.1612708727925938,-7.586734627481983e-06,0.009190539451117473
417,1556,0.013018474790261638,2.6381441437819336e-05,2.6381441437819336e-05,0.0023089308008862664,SO,Utilities,-0.0014133479957309726,1.1439008946129778,-7.407423299680659e-06,0.009190718762445274
56,1556,0.01259445437520741,2.619101934359545e-05,2.619101934359545e-05,0.0022922648639791005,BKR,Energy,0.007044137526493274,2.1864605998643776,-7.233566460541004e-06,0.009190892619284415
291,1556,0.01274419746079565,2.5800335520139362e-05,2.5800335520139362e-05,0.002258071815221248,L,Financials,0.007663855733969567,1.3222099126608258,-7.126376818993419e-06,0.009190999808925961
288,1557,0.012686610369735016,2.5800240970177596e-05,2.5800240970177596e-05,0.002258063540111662,LIN,Materials,0.004315576085806202,1.2525116383217563,-6.815843966916601e-06,0.00919131034177804
69,1582,0.01198743370956576,2.5779091236108432e-05,2.5779091236108432e-05,0.0022562124937032255,BA,Industrials,0.005303767338530587,2.3140000951171547,-6.666025732998599e-06,0.009191460160011957
179,1556,0.012730288856665401,2.570958833795208e-05,2.570958833795208e-05,0.002250129528802225,EVRG,Utilities,0.00034177317601448247,1.1905469335756615,-6.689422544621606e-06,0.009191436763200334
110,1557,0.01222213055997917,2.5571687499879837e-05,2.5571687499879837e-05,0.0022380603060782314,CFG,Financials,0.009353299902982275,2.1642527602110726,-6.585798886830082e-06,0.009191540386858125
104,1582,0.012739614950935984,2.550557677391892e-05,2.550557677391892e-05,0.0022322742275654294,CIEN,Information Technology,0.005792992056103511,2.6453247457397793,-6.3880992065691085e-06,0.009191738086538385
